id,first_name,last_name,email,UIN,category,college
16580726,Lev,Martin,nec.metus.facilisis@Etiam.com,91780771199,Staff,NULL
16581119,Jolene,Humphrey,amet.consectetuer@dapibus.net,31771098699,Other,NULL
16590418,Hammett,Hopper,erat.eget@Curabituregestasnunc.net,71318126799,Faculty,NULL
16590426,Lacota,Abbott,est.Nunc@consequat.co.uk,54518445899,Student,NULL
16590912,Kathleen,Hanson,imperdiet@Sed.co.uk,98774523299,Other,NULL
16600403,Ivan,Hubbard,rutrum.magna.Cras@metusurna.edu,05819920899,Other,NULL
16600421,Dawn,Holder,mauris.ipsum@estNunc.ca,92894148999,Staff,NULL
16600712,May,Rollins,feugiat@pedeCrasvulputate.edu,96484793499,Other,NULL
16610515,Emmanuel,Rich,Etiam.imperdiet.dictum@DonecestNunc.org,06591177299,Student,NULL
16620717,Abdul,Reeves,sit.amet@ultricesaauctor.co.uk,95777843299,Staff,NULL
16630720,Robert,Cochran,ac.sem.ut@netusetmalesuada.co.uk,73407014899,Donor,NULL
16640707,Nolan,Booth,mollis.non.cursus@lobortisultrices.edu,73768699199,Faculty,NULL
16640723,Baxter,Wall,mauris.ipsum@tellus.com,97886631199,Student,NULL
16640801,David,Peters,Duis@Integertinciduntaliquam.ca,69621808599,Other,NULL
16650603,Sigourney,Holmes,lorem.semper.auctor@Maurisnondui.co.uk,17980986499,Donor,NULL
16651129,Arden,Johnson,ipsum@augue.co.uk,04785821599,Staff,NULL
16660926,Basia,Booker,lectus.pede.ultrices@et.edu,21420889799,Other,NULL
16670913,Russell,Rosario,mauris@sed.net,50851537099,Staff,NULL
16680202,Erasmus,Washington,Vestibulum.ut.eros@disparturient.co.uk,26710398599,Student,NULL
16681207,Zeus,Pierce,enim.mi@vel.com,07998520999,Other,NULL
16681214,Griffin,Barrera,vitae@gravidasagittis.com,14691262399,Student,NULL
16700225,Boris,Everett,ligula@nibh.com,22219984799,Student,NULL
16701006,Bert,Mann,vehicula.risus@velitPellentesque.org,18856277799,Student,NULL
16701014,Deirdre,Meadows,natoque.penatibus.et@Donecegestas.com,41550301399,Staff,NULL
16701118,Madonna,Daniels,enim.Nunc@nonloremvitae.com,38589413499,Student,NULL
16710222,Elliott,Ashley,ac.mattis.ornare@eget.ca,61943407799,Employee,NULL
16710301,Rae,Roach,libero.mauris@Cum.co.uk,48483506999,Staff,NULL
16710312,Nash,Sanchez,Donec.tempor@metus.com,36274465599,Other,NULL
16720703,Travis,York,consequat.nec.mollis@ullamcorpernislarcu.org,27849381799,Donor,NULL
16730518,Alice,Payne,orci.lobortis@disparturientmontes.net,55318140899,Student,NULL
16740420,Judah,Swanson,placerat.orci@erat.com,89607566599,Employee,NULL
16741111,Emerson,Heath,enim.Etiam.imperdiet@Fuscedolorquam.ca,70339013799,Other,NULL
16751130,Victor,Clark,orci@vehiculaetrutrum.co.uk,69918504299,Other,NULL
16760627,Sloane,Gray,felis.eget.varius@felisegetvarius.org,62610006499,Faculty,NULL
16760821,Aline,Brown,convallis@duiquis.ca,35769190899,Student,NULL
16770410,Amethyst,Evans,Suspendisse.sagittis@dui.com,47963176399,Other,NULL
16770411,Carter,Espinoza,Donec.at@euaugueporttitor.org,81722417499,Student,NULL
16790418,Ivory,Lane,facilisis.facilisis.magna@euismod.ca,37328485699,Faculty,NULL
16790420,Heather,Skinner,in.tempus@nibh.co.uk,82861883999,Faculty,NULL
16790619,Kenyon,Tucker,In.tincidunt.congue@dapibusrutrumjusto.com,55819016199,Faculty,NULL
16790723,Linus,Frederick,et.rutrum@lobortisauguescelerisque.co.uk,23988376999,Student,NULL
16790812,Isadora,Simon,lacinia@massaVestibulum.co.uk,95986160599,Student,NULL
16790923,Libby,Landry,dolor.Fusce@fringillaest.com,46904197799,Faculty,NULL
16801106,Grant,Cherry,magna.nec@Sed.co.uk,92821325099,Other,NULL
16810619,Tanner,Nunez,morbi@orci.co.uk,52765287199,Employee,NULL
16820223,Allegra,Hicks,lacinia.mattis@mi.co.uk,21579591299,Faculty,NULL
16820708,Quinn,Baker,nascetur.ridiculus@accumsanconvallis.org,55666187699,Other,NULL
16821018,Alfonso,Kramer,nec.diam@sempererat.co.uk,53556262699,Faculty,NULL
16821217,Kaden,Nixon,nisi.Mauris@Lorem.com,35662420099,Staff,NULL
16830712,Sybil,Bonner,scelerisque.dui.Suspendisse@fringillaeuismode,39988427799,Student,NULL
16830716,Nicole,Gamble,sed.pede.nec@blanditenim.ca,72462009699,Student,NULL
16830727,Francis,Campbell,Donec@et.ca,88275269899,Other,NULL
16840726,Wyoming,Grant,pellentesque.eget@fringillaornareplacerat.com,74636667899,Student,NULL
16841129,Colt,Best,Aliquam.rutrum.lorem@venenatisamagna.co.uk,05734482699,Faculty,NULL
16860112,Colin,Suarez,fermentum@in.com,85268496599,Other,NULL
16870428,Laurel,Nguyen,urna@magna.org,08789038999,Other,NULL
16870429,Rachel,Mathews,sagittis.felis@feugiatmetus.com,72934030899,Faculty,NULL
16870710,Brianna,Irwin,vitae@iaculisaliquet.net,53678983399,Staff,NULL
16871030,Eric,Parks,elit.Aliquam@odioNam.co.uk,93989898899,Staff,NULL
16871119,Malcolm,Frederick,sapien.Aenean.massa@Donecest.com,49212414199,Student,NULL
16871201,Hop,Day,non.massa.non@augue.org,95841719699,Staff,NULL
16881104,Joseph,Jenkins,nibh.Quisque.nonummy@Nunc.ca,10784350299,Student,NULL
16890108,Judah,Flowers,penatibus@Integervulputate.com,55390109299,Student,NULL
16890524,Doris,Nunez,amet@scelerisque.com,24310124399,Student,NULL
16891214,Dylan,Dalton,vel.vulputate@sagittisaugueeu.edu,43624464199,Other,NULL
16900319,Wendy,Christian,Pellentesque@enimdiam.ca,12564169299,Faculty,NULL
16920617,MacKensie,Burnett,Donec.dignissim.magna@pharetra.net,97352400099,Student,NULL
16920925,Noelani,Shepard,nisl.sem.consequat@montes.net,17579187899,Staff,NULL
16940717,Warren,Hines,odio.auctor.vitae@arcu.co.uk,30286558799,Faculty,NULL
16941109,Tamara,Nichols,mauris.ipsum.porta@Sed.co.uk,63328157299,Student,NULL
16950512,Chloe,Miranda,sapien.Cras.dolor@elitpedemalesuada.edu,20596627399,Other,NULL
16960710,Benjamin,Herman,non.hendrerit.id@acurnaUt.net,49265003199,Staff,NULL
16970123,Zahir,Johns,eleifend.non@nonvestibulumnec.edu,24945943299,Staff,NULL
16970515,Emery,Jensen,eget@idmollisnec.co.uk,23679529199,Student,NULL
16970919,Thane,Johnson,in@Maurisvelturpis.ca,95816095499,Faculty,NULL
16980306,Hayley,Greene,faucibus@sempercursus.co.uk,52491650499,Other,NULL
16980419,Kennan,Strong,neque@convallisdolorQuisque.co.uk,94906952299,Staff,NULL
16980516,TaShya,Colon,semper.tellus@lectus.net,89321042099,Faculty,NULL
16980929,Eagan,Dennis,risus@liberoDonec.ca,12330105899,Other,NULL
